symbol,date,close,high,low,open,volume,Close,High,Low,Open,Volume,divCash,splitFactor
TSLA,2020-01-02,430.26,430.7,421.71,424.5,9532100,86.052,86.14,84.342,84.9,47660500,0.0,1.0
TSLA,2020-01-03,443.01,454.0,436.92,440.5,17778500,88.602,90.8,87.384,88.1,88892500,0.0,1.0
TSLA,2020-01-06,451.54,451.56,440.0,440.47,10133000,90.308,90.312,88.0,88.094,50665000,0.0,1.0
TSLA,2020-01-07,469.06,471.63,453.36,461.4,17882100,93.812,94.326,90.672,92.28,89410500,0.0,1.0
TSLA,2020-01-08,492.14,498.49,468.23,473.7,31144300,98.428,99.698,93.646,94.74,155721500,0.0,1.0
TSLA,2020-01-09,481.34,498.8,472.87,497.1,28440400,96.268,99.76,94.574,99.42,142202000,0.0,1.0
TSLA,2020-01-10,478.15,484.94,473.7,481.79,12959500,95.63,96.988,94.74,96.358,64797500,0.0,1.0
TSLA,2020-01-13,524.86,525.63,492.0,493.5,26517600,104.972,105.126,98.4,98.7,132588000,0.0,1.0
TSLA,2020-01-14,537.92,547.41,524.9,544.26,28996200,107.584,109.482,104.98,108.852,144981000,0.0,1.0
TSLA,2020-01-15,518.5,537.84,516.79,529.76,17368800,103.7,107.568,103.358,105.952,86844000,0.0,1.0
TSLA,2020-01-16,513.49,514.46,492.17,493.75,21736700,102.698,102.892,98.434,98.75,108683500,0.0,1.0
TSLA,2020-01-17,510.5,515.67,503.16,507.61,13629100,102.1,103.134,100.632,101.522,68145500,0.0,1.0
TSLA,2020-01-21,547.2,548.58,528.41,530.25,17803500,109.44,109.716,105.682,106.05,89017500,0.0,1.0
TSLA,2020-01-22,569.56,594.5,559.1,571.89,31369000,113.912,118.9,111.82,114.378,156845000,0.0,1.0
TSLA,2020-01-23,572.2,582.0,555.6,564.25,19651000,114.44,116.4,111.12,112.85,98255000,0.0,1.0
TSLA,2020-01-24,564.82,573.86,554.26,570.63,14353600,112.964,114.772,110.852,114.126,71768000,0.0,1.0
TSLA,2020-01-27,558.02,564.44,539.28,541.99,13608100,111.604,112.888,107.856,108.398,68040500,0.0,1.0
TSLA,2020-01-28,566.9,576.81,558.08,568.49,11788500,113.38,115.362,111.616,113.698,58942500,0.0,1.0
TSLA,2020-01-29,580.99,589.8,567.43,575.69,17801500,116.198,117.96,113.486,115.138,89007500,0.0,1.0
TSLA,2020-01-30,640.81,650.88,618.0,632.42,29005700,128.162,130.176,123.6,126.484,145028500,0.0,1.0
TSLA,2020-01-31,650.57,653.0,632.52,640.0,15719300,130.114,130.6,126.504,128.0,78596500,0.0,1.0
TSLA,2020-02-03,780.0,786.14,673.52,673.69,47233500,156.0,157.228,134.704,134.738,236167500,0.0,1.0
TSLA,2020-02-04,887.06,968.99,833.88,882.96,60938800,177.412,193.798,166.776,176.592,304694000,0.0,1.0
TSLA,2020-02-05,734.7,845.98,704.11,823.26,48423800,146.94,169.196,140.822,164.652,242119000,0.0,1.0
TSLA,2020-02-06,748.96,795.83,687.0,699.92,39880800,149.792,159.166,137.4,139.984,199404000,0.0,1.0
TSLA,2020-02-07,748.07,769.75,730.0,730.55,17063500,149.614,153.95,146.0,146.11,85317500,0.0,1.0
TSLA,2020-02-10,771.28,819.99,752.4,800.0,24689200,154.256,163.998,150.48,160.0,123446000,0.0,1.0
TSLA,2020-02-11,774.38,783.51,758.0,768.79,11697500,154.876,156.702,151.6,153.758,58487500,0.0,1.0
TSLA,2020-02-12,767.29,789.75,763.37,777.87,12022500,153.458,157.95,152.674,155.574,60112500,0.0,1.0
TSLA,2020-02-13,804.0,818.0,735.0,741.84,26289300,160.8,163.6,147.0,148.368,131446500,0.0,1.0
TSLA,2020-02-14,800.03,812.97,785.5,787.22,15693700,160.006,162.594,157.1,157.444,78468500,0.0,1.0
TSLA,2020-02-18,858.4,860.0,832.36,841.6,16381700,171.68,172.0,166.472,168.32,81908500,0.0,1.0
TSLA,2020-02-19,917.42,944.78,901.02,923.5,25423000,183.484,188.956,180.204,184.7,127115000,0.0,1.0
TSLA,2020-02-20,899.41,912.0,859.94,911.95,17634900,179.882,182.4,171.988,182.39,88174500,0.0,1.0
TSLA,2020-02-21,901.0,913.06,880.45,906.98,14314800,180.2,182.612,176.09,181.396,71574000,0.0,1.0
TSLA,2020-02-24,833.79,863.5,822.2,839.0,15192200,166.758,172.7,164.44,167.8,75961000,0.0,1.0
TSLA,2020-02-25,799.91,856.6,787.0,849.0,17290500,159.982,171.32,157.4,169.8,86452500,0.0,1.0
TSLA,2020-02-26,778.8,813.31,776.11,782.5,14085500,155.76,162.662,155.222,156.5,70427500,0.0,1.0
TSLA,2020-02-27,679.0,739.77,669.0,730.0,24277200,135.8,147.954,133.8,146.0,121386000,0.0,1.0
TSLA,2020-02-28,667.99,690.52,611.52,629.7,24564200,133.598,138.104,122.304,125.94,122821000,0.0,1.0
TSLA,2020-03-02,743.62,743.69,686.67,711.26,20195000,148.724,148.738,137.334,142.252,100975000,0.0,1.0
TSLA,2020-03-03,745.51,806.98,716.11,805.0,25784000,149.102,161.396,143.222,161.0,128920000,0.0,1.0
TSLA,2020-03-04,749.5,766.52,724.73,763.96,15049000,149.9,153.304,144.946,152.792,75245000,0.0,1.0
TSLA,2020-03-05,724.54,745.75,718.07,723.77,10852700,144.908,149.15,143.614,144.754,54263500,0.0,1.0
TSLA,2020-03-06,703.48,707.0,684.27,690.0,12662900,140.696,141.4,136.854,138.0,63314500,0.0,1.0
TSLA,2020-03-09,608.0,663.0,605.0,605.39,17073700,121.6,132.6,121.0,121.078,85368500,0.0,1.0
TSLA,2020-03-10,645.33,668.0,608.0,659.43,15594400,129.066,133.6,121.6,131.886,77972000,0.0,1.0
TSLA,2020-03-11,634.23,653.58,613.0,640.2,13322500,126.846,130.716,122.6,128.04,66612500,0.0,1.0
TSLA,2020-03-12,560.55,594.5,546.25,580.89,18909100,112.11,118.9,109.25,116.178,94545500,0.0,1.0
TSLA,2020-03-13,546.62,607.57,502.0,595.0,22640300,109.324,121.514,100.4,119.0,113201500,0.0,1.0
TSLA,2020-03-16,445.07,494.87,442.17,469.5,20489500,89.014,98.974,88.434,93.9,102447500,0.0,1.0
TSLA,2020-03-17,430.2,471.85,396.0,440.01,23994600,86.04,94.37,79.2,88.002,119973000,0.0,1.0
TSLA,2020-03-18,361.22,404.86,350.51,389.0,23786200,72.244,80.972,70.102,77.8,118931000,0.0,1.0
TSLA,2020-03-19,427.64,452.0,358.46,374.7,30195500,85.528,90.4,71.692,74.94,150977500,0.0,1.0
TSLA,2020-03-20,427.53,477.0,425.79,438.2,28285500,85.506,95.4,85.158,87.64,141427500,0.0,1.0
TSLA,2020-03-23,434.29,442.0,410.5,433.6,16454500,86.858,88.4,82.1,86.72,82272500,0.0,1.0
TSLA,2020-03-24,505.0,513.69,474.0,477.3,22895200,101.0,102.738,94.8,95.46,114476000,0.0,1.0
TSLA,2020-03-25,539.25,557.0,511.11,545.25,21222700,107.85,111.4,102.222,109.05,106113500,0.0,1.0
TSLA,2020-03-26,528.16,560.0,512.25,547.39,17380700,105.632,112.0,102.45,109.478,86903500,0.0,1.0
TSLA,2020-03-27,514.36,525.8,494.03,505.0,14377400,102.872,105.16,98.806,101.0,71887000,0.0,1.0
TSLA,2020-03-30,502.13,516.65,491.23,510.26,11998100,100.426,103.33,98.246,102.052,59990500,0.0,1.0
TSLA,2020-03-31,524.0,542.96,497.0,501.25,17771500,104.8,108.592,99.4,100.25,88857500,0.0,1.0
TSLA,2020-04-01,481.56,513.95,475.1,504.0,13353200,96.312,102.79,95.02,100.8,66766000,0.0,1.0
TSLA,2020-04-02,454.47,494.26,446.4,481.03,19858400,90.894,98.852,89.28,96.206,99292000,0.0,1.0
TSLA,2020-04-03,480.01,515.49,468.39,509.5,22562100,96.002,103.098,93.678,101.9,112810500,0.0,1.0
TSLA,2020-04-06,516.24,521.0,497.96,511.2,14901800,103.248,104.2,99.592,102.24,74509000,0.0,1.0
TSLA,2020-04-07,545.45,565.0,532.34,545.0,17919800,109.09,113.0,106.468,109.0,89599000,0.0,1.0
TSLA,2020-04-08,548.84,557.21,533.33,554.2,12656000,109.768,111.442,106.666,110.84,63280000,0.0,1.0
TSLA,2020-04-09,573.0,575.18,557.11,562.09,13650000,114.6,115.036,111.422,112.418,68250000,0.0,1.0
TSLA,2020-04-13,650.95,652.0,580.53,590.16,22475400,130.19,130.4,116.106,118.032,112377000,0.0,1.0
TSLA,2020-04-14,709.89,741.88,692.43,698.97,30576500,141.978,148.376,138.486,139.794,152882500,0.0,1.0
TSLA,2020-04-15,729.83,753.13,710.0,742.0,23577000,145.966,150.626,142.0,148.4,117885000,0.0,1.0
TSLA,2020-04-16,745.21,759.45,706.72,716.94,20657900,149.042,151.89,141.344,143.388,103289500,0.0,1.0
TSLA,2020-04-17,753.89,774.95,747.66,772.28,13128200,150.778,154.99,149.532,154.456,65641000,0.0,1.0
TSLA,2020-04-20,746.36,765.57,712.21,732.7,14746600,149.272,153.114,142.442,146.54,73733000,0.0,1.0
TSLA,2020-04-21,686.72,753.33,673.79,730.12,20209100,137.344,150.666,134.758,146.024,101045500,0.0,1.0
TSLA,2020-04-22,732.11,734.0,688.71,703.98,14224800,146.422,146.8,137.742,140.796,71124000,0.0,1.0
TSLA,2020-04-23,705.63,734.0,703.13,727.6,13236700,141.126,146.8,140.626,145.52,66183500,0.0,1.0
TSLA,2020-04-24,725.15,730.73,698.18,710.81,13237600,145.03,146.146,139.636,142.162,66188000,0.0,1.0
TSLA,2020-04-27,798.75,799.49,735.0,737.61,20681400,159.75,159.898,147.0,147.522,103407000,0.0,1.0
